Time,CH1_demo [V],CH2_demo [V],CH3_demo [V]
0.54,-0.24868988716485504,0.35960159741248465,-0.398918629647616
0.55,-0.3090169943749478,0.40030678432756023,-0.4667622014992171
0.56,-0.36812455268467836,0.4346988941221083,-0.5168454135841973
0.5700000000000001,-0.4257792915650727,0.4622355426798182,-0.5477584171142538
0.58,-0.481753674101715,0.48248246060333877,-0.5587935350356013
0.59,-0.5358267949789963,0.49512034190209325,-0.5499562485248409
0.6,-0.5877852522924729,0.49994987963849613,-0.5219508827258285
0.61,-0.6374239897486896,0.496894909117418,-0.47614199617762326
0.62,-0.6845471059286887,0.4860036090489276,-0.4144933130442711
0.63,-0.7289686274214114,0.46744774174125203,-0.3394867907052566
0.64,-0.7705132427757895,0.441519944306571,-0.2540250626087379
0.65,-0.8090169943749475,0.40862911359894555,-0.16132101686082423
0.66,-0.8443279255020153,0.36929395766666384,-0.06477864902387036
0.67,-0.8763066800438635,0.3241348154164622,0.03213044744682354
0.68,-0.9048270524660196,0.2738638734983891,0.12599052266719651
0.6900000000000001,-0.9297764858882515,0.2192739346968991,0.2135607033529393
0.7000000000000001,-0.9510565162951535,0.16122591495733965,0.29188551807376856
0.71,-0.9685831611286312,0.10063526622720974,0.3583931958028207
0.72,-0.9822872507286887,0.03845753923208179,0.4109785225081085
0.73,-0.9921147013144777,-0.024326686130155574,0.44806764732402454
0.74,-0.9980267284282717,-0.08672726512006337,0.46866291636155666
0.75,-1.0,-0.14776010333066997,0.4723665527410146
0.76,-0.9980267284282717,-0.20646267644414465,0.4593827688456727
0.77,-0.9921147013144777,-0.2619092098152713,0.43049866357475064
0.78,-0.9822872507286888,-0.31322527849063225,0.38704499656299274
0.79,-0.9685831611286312,-0.35960159741248493,0.3308386174793303
0.8,-0.9510565162951538,-0.40030678432756023,0.2641089385359569
0.81,-0.9297764858882512,-0.43469889412210844,0.189411352283412
0.8200000000000001,-0.9048270524660195,-0.46223554267981837,0.10953089846292692
0.8300000000000001,-0.8763066800438633,-0.4824824606033391,0.027379761228514876
0.84,-0.8443279255020155,-0.4951203419020932,-0.054107675865104315
0.85,-0.8090169943749477,-0.4999498796384962,-0.13207847762176725
0.86,-0.7705132427757897,-0.496894909117418,-0.203859887897108
0.87,-0.7289686274214117,-0.4860036090489276,-0.2670497680328244
0.88,-0.684547105928689,-0.46744774174125203,-0.31959572632775857
0.89,-0.6374239897486895,-0.441519944306571,-0.3598603793353216
0.9,-0.5877852522924732,-0.4086291135989456,-0.38667072422420007
0.91,-0.5358267949789962,-0.3692939576666639,-0.39935020029897256
0.92,-0.48175367410171527,-0.3241348154164622,-0.3977326547899496
0.93,-0.4257792915650722,-0.27386387349838914,-0.38215808002675583
0.9400000000000001,-0.36812455268467786,-0.21927393469689915,-0.35345063287863177
0.9500000000000001,-0.3090169943749477,-0.1612259149573397,-0.3128800603966514
0.96,-0.24868988716485538,-0.10063526622720981,-0.26210821697494635
0.97,-0.1873813145857247,-0.03845753923208185,-0.20312284933784536
0.98,-0.12533323356430467,0.02432668613015551,-0.13816123038226719
0.99,-0.06279051952931326,0.08672726512006332,-0.06962652883312442
1.0,-2.4492935982947064e-16,0.1477601033306699,-2.7031342806163433e-16
1.01,0.06279051952931278,0.2064626764441446,0.06824783118918258
1.02,0.12533323356430418,0.26190920981527127,0.1327438510515729
1.03,0.1873813145857242,0.3132252784906322,0.19129389546695913
1.04,0.24868988716485493,0.3596015974124849,0.24195637961182764
1.05,0.30901699437494723,0.4003067843275602,0.28310558600424157
1.06,0.36812455268467825,0.43469889412210844,0.31348258967067216
1.07,0.4257792915650726,0.46223554267981837,0.33223227409545597
1.08,0.48175367410171566,0.4824824606033391,0.3389254114482978
1.09,0.5358267949789967,0.49512034190209336,0.33356532623085666
1.1,0.5877852522924736,0.4999498796384962,0.31657921323728816
1.11,0.6374239897486899,0.49689490911741796,0.28879471905850346
1.12,0.6845471059286893,0.4860036090489274,0.2514029026072166
1.1300000000000001,0.7289686274214119,0.46744774174125175,0.2059091471301832
1.1400000000000001,0.7705132427757894,0.441519944306571,0.15407398880762044
1.1500000000000001,0.8090169943749479,0.4086291135989451,0.09784614278210813
1.16,0.8443279255020147,0.36929395766666456,0.039290236727742456
1.17,0.876306680043863,0.324134815416463,-0.01948810148678332
1.18,0.9048270524660192,0.27386387349839,-0.07641711483087357
1.19,0.929776485888251,0.2192739346969,-0.12953111429335123
1.2,0.9510565162951535,0.16122591495733976,-0.17703751583784608
1.21,0.9685831611286312,0.10063526622720986,-0.21737646148680373
1.22,0.9822872507286887,0.038457539232081915,-0.24927107438456608
1.23,0.9921147013144777,-0.024326686130155453,-0.2717667657273281
1.24,0.9980267284282717,-0.08672726512006326,-0.2842584278436216
1.25,0.9999999999999999,-0.14776010333066986,-0.28650479686019004
1.26,0.9980267284282717,-0.20646267644414457,-0.2786297338485821
1.27,0.9921147013144777,-0.26190920981527044,-0.2611106384234006
1.28,0.9822872507286886,-0.3132252784906328,-0.2347546571038257
1.29,0.9685831611286313,-0.3596015974124848,-0.20066376491815385
1.3,0.9510565162951538,-0.4003067843275601,-0.16019016872621736
1.31,0.9297764858882516,-0.43469889412210794,-0.11488379245751953
1.32,0.9048270524660191,-0.46223554267981865,-0.06643384810363663
1.33,0.8763066800438634,-0.4824824606033391,-0.016606664640706075
1.34,0.8443279255020151,-0.4951203419020933,0.03281796433797988
1.35,0.8090169943749477,-0.4999498796384962,0.08010964616577156
1.36,0.7705132427757886,-0.49689490911741785,0.12364727229517632
1.37,0.7289686274214111,-0.4860036090489274,0.16197387198105528
1.3800000000000001,0.6845471059286884,-0.46744774174125175,0.1938446067309141
1.3900000000000001,0.6374239897486896,-0.441519944306571,0.21826635328269112
1.4000000000000001,0.5877852522924732,-0.40862911359894566,0.23452764945526608
1.41,0.5358267949789971,-0.3692939576666646,0.24221814044370815
1.42,0.48175367410171616,-0.32413481541646305,0.24123704949900532
1.43,0.42577929156507394,-0.27386387349839075,0.23179059239314168
1.44,0.36812455268467803,-0.21927393469689926,0.21437864553572475
1.45,0.30901699437494784,-0.16122591495733982,0.18977134944331014
1.46,0.24868988716485554,-0.10063526622720992,0.15897666975791633
1.47,0.1873813145857257,-0.03845753923208286,0.12320023581159327
1.48,0.1253332335643039,0.024326686130156278,0.08379902221046572
1.49,0.06279051952931337,0.08672726512006321,0.042230624466655736
1.5,3.6739403974420594e-16,0.1477601033306698,2.459300727771098e-16
1.51,-0.06279051952931267,0.2064626764441445,-0.04139440207513127
1.52,-0.12533323356430318,0.2619092098152704,-0.08051321555110597
1.53,-0.187381314585725,0.31322527849063275,-0.11602561261657417
1.54,-0.2486898871648548,0.35960159741248476,-0.14675396254764211
1.55,-0.30901699437494706,0.40030678432756006,-0.17171221784748425
1.56,-0.3681245526846773,0.43469889412210794,-0.1901368019213775
1.57,-0.42577929156507327,0.46223554267981865,-0.20150906038494534
1.58,-0.48175367410171555,0.4824824606033391,-0.2055686533991118
1.59,-0.5358267949789965,0.4951203419020933,-0.20231759737606128
1.6,-0.5877852522924728,0.4999498796384962,-0.19201499905611885
1.61,-0.6374239897486905,0.49689490911741785,-0.17516285147207877
1.62,-0.6845471059286892,0.4860036090489274,-0.15248356837202603
1.6300000000000001,-0.7289686274214119,0.4674477417412518,-0.12489021084973576
1.6400000000000001,-0.7705132427757894,0.44151994430657104,-0.09345059807604299
1.6500000000000001,-0.8090169943749473,0.4086291135989457,-0.059346685531968646
1.6600000000000001,-0.8443279255020156,0.36929395766666345,-0.023830733202741892
1.67,-0.8763066800438629,0.32413481541646305,0.011820131051325372
1.68,-0.9048270524660188,0.2738638734983908,0.04634932307170574
1.69,-0.9297764858882513,0.21927393469689932,0.07856459220565878
1.7,-0.9510565162951535,0.16122591495733987,0.107378681275014
1.71,-0.968583161128631,0.10063526622720999,0.1318454885915889
1.72,-0.9822872507286885,0.03845753923208292,0.15119054919374808
1.73,-0.9921147013144777,-0.024326686130156216,0.1648348757045648
1.74,-0.9980267284282716,-0.08672726512006314,0.17241145176886782
1.75,-0.9999999999999999,-0.14776010333066975,0.17377394345044508
1.76,-0.9980267284282717,-0.20646267644414446,0.16899747628673606
1.77,-0.9921147013144778,-0.2619092098152703,0.15837160778093207
1.78,-0.9822872507286886,-0.31322527849063275,0.1423858970437965
1.79,-0.9685831611286313,-0.3596015974124847,0.1217087257162291
1.8,-0.9510565162951538,-0.40030678432756006,0.09716024871699072
1.81,-0.9297764858882516,-0.4346988941221079,0.06968054242954864
1.82,-0.9048270524660191,-0.4622355426798186,0.040294165717548215
1.83,-0.8763066800438634,-0.48248246060333905,0.010072451260153976
1.84,-0.8443279255020151,-0.4951203419020933,-0.019905101560340557
1.85,-0.8090169943749478,-0.4999498796384962,-0.04858895653827048
1.86,-0.7705132427757887,-0.49689490911741785,-0.07499586163686085
1.87,-0.7289686274214112,-0.4860036090489274,-0.09824211942887905
1.8800000000000001,-0.6845471059286885,-0.4674477417412518,-0.11757269720223763
1.8900000000000001,-0.6374239897486897,-0.44151994430657104,-0.1323852352496213
1.9000000000000001,-0.5877852522924734,-0.4086291135989457,-0.14224820994495574
1.9100000000000001,-0.5358267949789957,-0.36929395766666345,-0.1469127285176897
1.92,-0.4817536741017162,-0.3241348154164631,-0.14631766677976085
1.93,-0.42577929156507405,-0.27386387349839086,-0.14058810091939447
1.94,-0.3681245526846781,-0.21927393469689938,-0.13002722130508396
1.95,-0.30901699437494795,-0.16122591495733993,-0.11510214177240732
1.96,-0.24868988716485566,-0.10063526622721004,-0.09642422438718685
1.97,-0.18738131458572582,-0.038457539232082984,-0.0747247203035577
1.98,-0.12533323356430404,0.024326686130156157,-0.05082667622458699
1.99,-0.0627905195293135,0.08672726512006308,-0.025614168517837713
